Contour length,Contour area,mean blue1,mean green1,mean red1,varb1,varg1,varr1,pix11,pix21,pix31,pix41,mean blue2,mean green2,mean red2,varb2,varg2,varr2,pix12,pix22,pix32,pix42,mean blue3,mean green3,mean red3,varb3,varg3,varr3,pix13,pix23,pix33,pix43,mean blue4,mean green4,mean red4,varb4,varg4,varr4,pix14,pix24,pix34,pix44,Type
31564,728.2396773,17.48354167,25.41286458,31.37395833,1176.682854,1927.557303,2307.75453,5589297,0,0,263174,37.40703125,47.4840625,89.86526042,934.8413568,1080.0511,2110.81221,8145182,8670511,8012080,4988163,19.69479167,21.7703125,25.52166667,1991.063306,2310.839848,2559.193489,0,0,0,0,28.1475,30.61541667,59.84760417,1559.401369,1741.520012,3457.54063,8011836,7952463,12827315,65536,Onion
14652.5,685.771642,0.8309375,1.141666667,8.833958333,18.8963137,28.54336806,346.8922218,2,0,0,0,16.93260417,18.79052083,46.97026042,678.3681661,808.8690351,2413.259793,4195591,4656136,5115658,4985859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Onion
22784,789.8132701,0.9278125,1.044635417,2.712604167,30.4478098,36.63274726,136.0097995,0,0,0,0,27.8484375,29.22875,62.7746875,863.0125496,921.8556943,2771.208609,5379857,5907240,5578525,5840408,5.158854167,5.553541667,10.28072917,245.5721612,259.1054666,545.411712,0,0,0,0,54.95416667,49.70958333,99.88010417,2282.470399,2193.6067,4734.230521,7541804,9253958,9516615,10113622,Onion
31993.5,730.8254627,17.12864583,25.10541667,30.76385417,1142.501054,1900.995762,2280.455798,6972995,0,0,7,37.33807292,48.12541667,90.4765625,937.1905505,1079.731666,2042.804242,7882788,8405806,7157281,8937532,19.27010417,21.44333333,24.86572917,1945.19319,2283.241997,2516.419159,0,0,0,0,28.6059375,31.45875,60.97927083,1580.603777,1774.36434,3429.826341,7421498,8147789,11378582,13420996,Onion
16179,710.4751762,0.20296875,0.309427083,1.4184375,2.19416827,4.731702797,48.21751423,0,0,0,0,23.46369792,27.23364583,65.70510417,1134.776286,1198.266555,3571.417724,8401445,10707024,8929581,6295559,0.08375,0.108958333,0.22125,1.977360938,2.836669748,8.908131771,0,0,0,0,8.5440625,11.05125,24.6665625,561.2832668,706.0315401,1580.986632,0,0,0,0,Onion
33266.5,812.399056,9.490572917,12.81671875,20.83223958,250.9769945,382.1432309,833.5639919,3155485,2499097,2564890,2958367,36.92234375,45.62942708,77.85895833,927.8647508,1196.728249,2739.97042,7424830,7951939,7490623,6439214,6.323645833,10.69541667,20.863125,301.8449409,490.594104,1197.986057,0,0,0,0,46.45572917,60.04416667,96.6375,1223.879498,1411.284299,2197.012552,7751477,7488567,7094577,7951168,Onion
24454,816.2985507,1.473177083,1.6496875,4.49984375,46.11698886,56.07759365,239.5877083,0,0,0,0,33.01479167,34.43151042,74.16979167,993.5449895,1016.739163,2796.924712,5644573,5511451,5314842,6432543,4.947604167,5.343645833,10.489375,244.0275672,261.3324284,581.5957204,0,0,0,0,46.6640625,41.38791667,87.1403125,2162.8635,2098.957854,4925.306875,8989246,10244180,10244437,9983827,Onion
23872,812.6416975,1.225,1.292552083,3.625572917,39.18333333,45.1343612,184.6700648,0,0,0,0,31.09958333,31.97796875,69.76776042,957.8446665,984.0580042,2803.990596,6564131,5381148,5578525,5969433,4.840833333,5.180416667,9.986666667,236.3254993,249.5736998,540.6206556,0,0,0,0,48.93166667,43.403125,91.29885417,2163.873247,2086.196032,4805.345582,8462906,9454411,9322308,10377306,Onion
24025.5,813.2274849,1.120104167,1.291458333,3.463385417,35.86828332,43.80796871,168.4582427,0,0,0,0,30.55651042,32.24072917,69.63197917,958.4548274,986.4627786,2786.836644,6431264,5905952,5906463,6101270,4.353229167,4.86875,9.015416667,216.1405417,234.0367318,485.8149707,0,0,0,0,48.4596875,43.23447917,90.73791667,2164.905042,2072.209915,4722.742562,8856381,10045521,9980757,11164510,Onion
27841,682.0142809,17.59171875,23.23791667,28.74572917,1267.450754,1841.89725,2067.830763,6054999,9209715,7569780,7043962,31.37739583,34.27276042,69.29520833,1187.675802,1334.058258,2570.34004,5774623,5382436,5381916,4722705,5.864479167,6.141979167,12.89510417,313.6067383,327.7032794,740.697851,0,0,0,0,40.43979167,36.3234375,76.02166667,2074.67325,2044.005492,4789.895572,9717842,9328979,9130310,13286839,Onion
32333,742.4406874,20.78484375,27.24854167,33.51083333,1588.875427,2216.384269,2433.366445,6578237,8159343,8818824,7107685,38.50213542,40.73151042,84.78447917,1081.205829,1202.894945,2048.955322,5771284,5708822,6564640,5184536,4.501458333,4.714895833,9.164166667,232.2697895,243.9792364,503.2957576,0,0,0,0,34.9071875,30.58041667,70.30927083,1691.094823,1774.424991,3977.050081,9386561,8932931,7685181,8414045,Onion
33446.5,751.8548987,22.0340625,27.95166667,32.40088542,1800.644256,2479.046831,2624.293614,9079677,9083543,9083797,8886414,42.71697917,45.24078125,90.11020833,1268.772503,1420.000201,2209.865875,4854804,6168609,7087656,6234402,4.560520833,4.830416667,8.301666667,260.0619622,269.7368665,476.2158722,0,0,0,0,43.9190625,38.13197917,84.58364583,1882.546887,1954.783519,4187.123003,8397881,9189950,8536132,9719372,Onion
33162,752.4406854,21.24359375,26.80791667,30.30927083,1813.689881,2490.543416,2608.195497,8622215,10133652,9805719,9608858,40.16697917,44.12765625,86.83427083,1203.345243,1416.201464,2349.566492,5447968,4984850,4986390,5445909,4.536666667,5.003854167,8.632083333,250.1642806,267.298631,489.093179,0,0,0,0,50.8559375,45.05697917,97.39208333,1945.756642,2031.416649,4007.390437,7935281,9384006,8201270,9780036,Onion
33561,736.7838326,20.41739583,25.23177083,27.79229167,1801.374635,2406.191907,2452.97217,6583914,66304,512,9279374,39.85520833,44.51859375,86.90760417,1244.625598,1499.974446,2313.631776,5904920,6039078,5643807,6564129,4.170833333,4.49,7.310416667,231.4460243,242.3440667,415.8573915,0,0,0,0,50.00375,44.14541667,96.464375,1899.686444,1918.106146,3899.828939,7542321,8989761,7872818,8463668,Onion
33577.5,751.0264728,19.88072917,24.30854167,26.61552083,1773.848899,2334.611885,2366.029155,9607316,0,0,5988441,38.61864583,42.90963542,84.73192708,1211.422069,1505.058657,2361.370272,6103319,5841184,5972772,5969688,4.161979167,4.273958333,7.042708333,231.5411586,235.4289052,402.681301,0,0,0,0,56.43270833,49.49479167,103.6644792,2329.146097,2387.360598,3756.753155,7212845,8793157,7610166,9055554,Onion
32624,726.7838318,19.55817708,23.92453125,26.22744792,1745.836095,2306.211127,2332.370507,9083543,0,131586,256,41.28822917,45.7459375,89.2940625,1303.25807,1567.535036,2405.564465,5706514,5973283,5708824,5511702,3.662083333,3.803125,5.931145833,217.4447707,218.9660319,359.3001549,0,0,0,0,46.31197917,40.184375,88.73791667,1972.656731,1934.484964,4207.610479,6951466,8728129,8268858,9978961,Onion
27036.5,1006.482316,6.449895833,7.095260417,12.04015625,142.8772812,174.4223317,398.1443771,2625299,0,0,3749939,33.04369792,37.27536458,65.71994792,1277.544497,1566.300581,4453.445894,7486260,8869204,7685431,8014146,5.404895833,6.507916667,11.07572917,244.2888719,296.9370207,569.3116609,0,0,0,0,51.28302083,60.11427083,105.0797917,1601.288337,1818.85538,3494.308008,8339766,9063485,8406074,9064004,Onion
28759,691.8132724,5.97125,7.098645833,13.46552083,142.0945901,187.322769,477.3666237,2034706,3420456,2761501,2430479,33.243125,38.35041667,71.08729167,1029.486724,1279.741583,3596.053943,7684670,7422271,7884102,7225395,4.314791667,5.674791667,11.111875,195.1642395,245.8871562,531.2839423,0,0,0,0,42.15416667,50.81479167,90.67739583,1434.729774,1671.197156,3389.372281,7880242,8077368,7880500,7752253,Onion
31321.5,672.3401834,5.524322917,6.523020833,12.28005208,131.1944084,170.2618659,426.6183937,1904147,0,131584,2563355,38.68567708,43.47921875,78.22130208,1134.932191,1304.508006,3131.853577,7027253,6500656,7948356,7291706,4.836145833,6.333541667,11.59802083,236.9011726,292.998125,549.2591419,0,0,0,0,50.89552083,60.501875,103.1245833,2033.566688,2135.481871,2945.268021,7945008,8538430,8143415,8077622,Onion
27606,682.4995618,6.108802083,7.194583333,13.59885417,147.4211309,194.2580748,511.307207,1772813,328704,3486253,2430740,32.03989583,36.54015625,67.12328125,1098.475804,1339.672554,3749.902145,7684673,7947842,7290426,7950661,4.619583333,6.29375,12.40916667,199.2809082,256.9126693,582.6898743,0,0,0,0,44.09416667,53.08885417,93.77895833,1483.436133,1721.100542,3434.397599,8867395,8274490,7946293,8014911,Onion
24740.5,881.8549008,4.520833333,5.4446875,10.20223958,90.49862847,122.6600655,326.7060262,2101518,0,0,3288359,28.73182292,33.02463542,59.84229167,1096.948862,1368.193924,3925.092941,7749436,8143424,6172971,8343626,4.582291667,6.0034375,11.52239583,195.2190614,249.466134,546.6184568,0,0,0,0,44.575,53.3621875,94.16291667,1552.49,1779.578716,3502.628875,8866624,8077621,7814707,8145984,Onion
25713.5,699.0853487,4.822916667,5.73234375,10.55489583,111.4621832,149.1687247,371.9524031,2102027,0,0,0,29.41489583,33.70197917,61.24744792,1066.591924,1312.7016,3706.848405,5313302,6963778,6896443,7026740,4.372916667,5.645625,10.35354167,185.4509332,235.6225434,490.2218833,0,0,0,0,44.645,53.57260417,94.74125,1487.928142,1715.329729,3405.991798,8340793,8341051,7814962,8012604,Onion
27884,644.984843,5.735729167,7.075,12.73354167,137.3869318,187.7430208,458.6824375,1641996,2,256,2498329,36.52447917,41.70307292,75.29255208,1164.646692,1395.168761,3669.47384,7685184,7554627,7291452,6964281,4.132395833,5.5028125,10.39302083,192.3775755,247.4012421,517.4102221,0,0,0,0,40.89125,49.2015625,86.15760417,1555.291298,1831.131143,3765.21089,9064003,8277311,7947576,8081733,Onion
30045,667.9554073,5.787135417,7.769635417,13.92041667,128.0240116,188.7434426,468.750229,1510408,3025439,2432534,1905675,39.71140625,46.89427083,86.23526042,1001.384162,1234.401426,3186.281059,7948605,8015936,7948603,7817017,2.912708333,3.983125,7.464270833,152.8107135,198.5588819,385.5801818,0,0,0,0,33.16364583,41.0721875,73.18166667,1433.127908,1724.879268,3612.540122,7683376,8145982,8145982,8147524,Onion
27756,911.8965307,3.626875,4.793645833,8.849166667,61.43046523,93.60825129,234.3515201,2235671,0,0,0,29.41901042,35.7796875,66.680625,866.101149,1156.304379,3448.910395,6436397,7093296,7685944,6830902,2.551458333,3.2946875,5.1578125,116.8144354,150.2401384,245.791866,0,0,0,0,33.85427083,42.65291667,78.64177083,1264.419909,1538.403283,3220.086776,7156268,7355181,7159600,7356466,Onion
27588.5,919.3107446,3.278125,4.117916667,7.790885417,58.55327148,84.20380399,211.078719,0,0,0,0,27.52453125,33.51776042,62.50401042,832.3707524,1113.024476,3324.397796,6500910,6698289,7553849,7160120,2.279583333,2.888229167,4.339479167,91.63183316,118.2440698,191.8598581,0,0,0,0,34.87645833,43.7140625,81.005625,1270.709112,1530.531469,3125.637468,7354411,7222825,7026216,7683121,Onion
28205.5,930.6244531,3.243177083,4.072604167,7.7340625,58.41612532,85.2726453,209.9993814,256,0,0,0,28.2828125,34.31776042,64.125,821.6139754,1089.338143,3234.29625,6766391,7422772,6896178,6831155,2.07375,2.6528125,3.876979167,91.79414427,115.6497733,180.3439284,0,0,0,0,34.12604167,42.50635417,78.87677083,1295.465572,1553.862043,3192.050544,7682600,7288618,7158062,7289133,Onion
29710,750.783833,3.50453125,4.453489583,8.434895833,61.01154197,90.49627428,225.0114906,3618867,0,0,0,30.66791667,36.95786458,69.6890625,822.2094082,1073.510568,3062.727589,6040359,7093047,6896430,7488832,2.4965625,3.298125,5.023541667,110.4872799,143.6532048,232.1561125,0,0,0,0,35.28541667,44.45927083,82.21145833,1275.869579,1524.384799,3082.627577,6894630,7616557,6697509,7486512,Onion
27806.5,925.6538898,3.785052083,4.57703125,8.194635417,76.97582864,106.0261495,248.8384191,2,0,0,0,29.81166667,35.27776042,63.89395833,965.7480722,1251.606964,3631.530422,6568242,7158837,7620153,6961712,2.697083333,3.322395833,4.7915625,118.1453248,145.7072068,226.858533,0,0,0,0,40.5846875,49.85885417,90.60083333,1398.955536,1647.344765,3320.995666,7419432,7814960,7813672,8077622,Onion
27751.5,919.796025,3.868854167,4.700572917,8.425885417,77.31759244,106.6710205,254.7616945,0,0,0,0,30.52786458,35.77322917,64.81973958,997.1570361,1273.271387,3693.402662,6237987,7025963,7224890,8474951,3.019375,3.770208333,5.598333333,133.4469163,165.2611541,263.7451222,0,0,0,0,41.68333333,51.06895833,92.87322917,1373.712847,1617.051703,3241.989033,8076079,7945782,7880240,8340280,Onion
30180,667.6122618,5.60125,7.11515625,12.74859375,122.1906859,172.6439786,424.7833053,1576714,0,256,4539968,40.63932292,47.58140625,89.05807292,956.161735,1151.581706,2945.563242,8145984,7948603,8145982,7619642,2.526875,3.222916667,5.695208333,139.0569861,171.5953082,301.6073104,0,0,0,0,30.50833333,37.71572917,68.5453125,1365.249931,1642.723878,3518.886905,7222570,7883323,8016961,8477007,Onion
30476.5,711.7127662,4.378125,5.621614583,10.44557292,82.65139648,118.8550016,296.8113085,1773580,0,0,0,35.01484375,42.31963542,80.59744792,818.3099359,1059.40726,2915.121129,6567983,8475202,6764844,7093555,2.124479167,2.6828125,4.435625,109.0154424,134.3663713,227.1998142,0,0,0,0,29.60854167,37.10427083,68.82822917,1273.917177,1552.44319,3330.570391,6828582,7422002,7291956,8211518,Onion
30933.5,712.5411922,4.210260417,5.5603125,10.18515625,75.79500931,112.3710499,278.9916026,2102027,0,0,0,34.84630208,42.75203125,81.260625,794.9949707,1040.30023,2828.418429,7029045,7488567,6830124,6370602,1.9153125,2.473333333,4.004479167,93.41564053,120.8344972,202.0642508,0,0,0,0,28.7059375,36.36375,67.58145833,1245.660715,1533.309561,3316.79024,6565410,7290673,7620153,8080189,Onion
32414.5,708.3401823,4.099010417,5.976145833,10.501875,75.47108235,122.0793268,289.2113507,1708039,0,0,0,38.63958333,47.30833333,88.85489583,820.3630165,1010.13566,2511.386028,6897457,7356981,7290675,6502190,2.0021875,2.6565625,4.216041667,102.4328077,133.6150715,215.8174927,0,0,0,0,29.13697917,37.2815625,68.4471875,1276.901341,1576.819368,3331.390753,6763044,7290673,7620151,8211775,Onion
31826,750.6416979,8.311458333,11.14807292,16.36416667,237.168202,362.8255223,660.7468618,3158315,0,0,256,39.17864583,48.81140625,78.7846875,883.1456898,1139.553859,2353.005516,6834751,7164220,7294784,6441019,4.5121875,7.198854167,12.38291667,242.7994348,394.2320195,799.7377498,0,0,0,0,40.64333333,52.96020833,83.33666667,1253.894039,1536.719458,2522.494781,6305318,7293244,6439214,6835264,Onion
32567,797.6711336,8.913125,11.8753125,19.4771875,238.3260986,354.3190364,790.9162504,3221278,3422768,3948344,3223847,36.02395833,45.10296875,77.69036458,881.766301,1172.242991,2701.506782,7951174,7622722,8214859,7360829,5.346458333,8.668541667,16.61666667,262.7608,429.466177,1040.208472,0,0,0,0,43.13770833,56.11,91.69333333,1210.907495,1446.1529,2393.172622,7685684,7356979,7227190,7096119,Onion
30083,768.7005719,8.03265625,11.30989583,20.19885417,194.6759648,305.4942771,791.7264987,2760988,2498329,2694941,2694934,34.3553125,42.81427083,73.53135417,904.1641697,1193.151234,2769.424538,6965044,7754049,8411725,7819842,4.812291667,8.228854167,16.68604167,234.5016406,379.8614799,979.6320552,0,0,0,0,36.3684375,47.1409375,76.36041667,1275.469983,1598.015032,2832.765725,7158830,6833974,6701618,6833724,Onion
40298,802.7838309,20.50958333,28.43807292,33.27875,1299.427825,2375.025019,2474.762298,1704715,3545371,3811104,5530174,57.3171875,67.40979167,105.4329167,1618.791059,1983.024258,3008.122271,9395024,9451575,9324866,8538182,36.42135417,41.78677083,43.72427083,3607.72819,4337.038804,3826.941994,0,65536,0,197379,32.25229167,36.899375,68.92697917,1271.898641,1395.42425,1853.11998,5316374,5974813,5648681,6960683,Onion
33611,744.9848431,16.97708333,23.71161458,28.97098958,972.0737457,1854.917823,2018.704419,1838102,2494231,2560275,8749667,49.25015625,55.20947917,92.00328125,1557.333099,1791.020389,3273.090875,8796982,8862523,8663858,8202026,31.63239583,36.0346875,38.15979167,2973.221221,3583.619526,3151.581133,0,2,0,256,25.37625,27.51135417,53.66802083,1198.284894,1284.293204,2185.339686,6303530,6106160,6570812,8542800,Onion
33652,744.9848429,16.51973958,22.82546875,28.49239583,991.2197145,1823.620216,2064.996713,1902868,3418664,3089953,8024651,49.67109375,55.75364583,94.73385417,1535.78031,1774.205664,3188.705625,8926260,8729908,8860213,9451575,29.83083333,33.71625,35.9453125,2901.960133,3459.671569,3144.473363,0,0,0,0,24.59989583,26.99666667,53.45864583,1223.658354,1335.981864,2293.175373,5778213,6371893,6242623,7756628,Onion
19752,876.9848424,2.574635417,2.082604167,5.08890625,76.85953372,57.89161405,260.2560019,0,0,0,0,37.97546875,38.53828125,71.86546875,1679.3782,1724.755305,4507.793828,8664117,8730421,8860720,8332842,0.094166667,0.133958333,0.581979167,1.748840972,2.889555165,27.23015442,0,0,0,0,21.1778125,22.65729167,47.79427083,999.4386952,1043.827968,2248.42278,6171685,6501167,6308669,7493454,Onion
33997.5,751.5706301,17.12192708,23.71541667,29.68765625,1023.060498,1882.337554,2117.153431,2297617,3087130,2497555,10855292,50.73703125,56.75661458,96.75166667,1499.608816,1735.21717,3043.561039,9255995,8599088,8463917,9256513,30.18635417,33.940625,36.07697917,2952.637043,3510.397516,3198.126053,0,0,0,0,23.73760417,25.971875,51.21427083,1201.378336,1316.941709,2324.064401,5844268,6966340,6180682,11644072,Onion
34622,757.4701234,17.8771875,24.82598958,31.07411458,1039.37648,1932.378106,2164.404767,7695184,2560525,5524015,5001776,51.31822917,57.57932292,98.12260417,1478.118105,1705.926,2946.361218,9124409,8401456,8727600,8993080,31.15520833,35.16375,37.30072917,3029.154869,3609.423186,3271.982583,0,0,0,0,23.67145833,25.92958333,50.9071875,1215.951227,1327.339,2330.437323,5712171,6834752,7169630,11381930,Onion
32631,747.7543937,12.32088542,19.04635417,23.41838542,724.7970846,1370.25608,1718.225006,2,0,0,0,34.49796875,45.54234375,82.38307292,963.3110375,1213.400395,2500.971953,5514507,7686197,5844507,7095329,25.27729167,28.49822917,32.936875,2387.668109,2799.701247,3009.082682,0,0,0,0,37.1396875,40.6634375,81.659375,1669.556008,1787.855372,2843.653141,7284770,7680554,7156527,7945525,Onion
30995,688.9259708,14.3934375,21.9546875,27.46760417,831.8058319,1546.829093,1955.220513,6247989,0,0,0,36.61473958,46.49296875,87.38567708,946.7301682,1095.442763,2218.165993,7750675,8933942,8011302,7552293,19.10260417,21.29354167,25.17479167,1869.684577,2184.431542,2440.952573,0,0,0,0,29.61625,32.17697917,62.95791667,1595.155444,1754.487949,3397.505104,8011579,8408394,6901065,11575192,Onion
31457.5,728.3401815,16.22755208,23.76958333,29.08416667,1074.01546,1806.120137,2174.065208,6776643,0,0,0,37.044375,47.11177083,88.65697917,947.5780309,1103.035216,2164.727441,7752478,8407600,7222302,8146989,18.69416667,20.85072917,24.23260417,1866.452299,2189.059697,2427.510583,0,0,0,0,29.504375,32.24364583,62.7375,1605.838314,1775.366158,3391.778594,7355191,7883589,7757144,12103332,Onion
31819,730.5828248,17.176875,25.14484375,30.91203125,1142.590694,1903.861677,2288.844084,6774587,0,0,5,37.74401042,47.89072917,90.743125,939.4395214,1083.195768,2082.292974,7882273,8538675,7617320,7817773,18.96270833,21.151875,24.61114583,1902.957359,2241.987976,2484.14473,0,0,0,0,28.90614583,31.5871875,61.1059375,1631.490462,1809.544898,3472.932006,7552057,8148304,12628907,65536,Onion
31773.5,733.997035,17.3609375,25.30145833,31.1303125,1167.755453,1925.235998,2309.854373,7036741,0,0,2,37.82755208,48.116875,91.4425,929.5143763,1057.63634,2000.005444,6433810,8406835,7025185,7751467,18.07197917,20.13,23.30947917,1827.262215,2152.071225,2386.562035,0,0,0,0,27.75510417,30.249375,58.72677083,1581.849089,1764.029479,3434.650242,7290425,7759197,256,0,Onion
